player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
215987,2017,David Browne,Papua New Guinea,Papua New Guinea,27/12/1995,Attack,Right,175,270000,270000
411482,2017,Gerald Postma,,Netherlands,12/10/1997,Midfield,,0,,
41335,2017,Ruben Jenssen,Norway,Norway,04/05/1988,Midfield,Left,173,270000,1980000
409353,2017,Tim Riksman,Netherlands,Netherlands,09/06/1998,Defender,Right,180,,
317179,2017,Abdel Mounaim El Ouazzane,Netherlands,Netherlands,26/02/1998,Goalkeeper,Right,190,45000,90000
250471,2017,Jari Oosterwijk,Netherlands,Netherlands,03/03/1995,Attack,Both,194,,765000
240778,2017,Marko Kvasina,Austria,Austria,20/12/1996,Attack,Right,195,360000,540000
315130,2017,Rashaan Fernandes,Netherlands,Netherlands,29/08/1998,Attack,Right,170,180000,180000
332323,2017,Isaac Buckley Ricketts,England,England,14/03/1998,Attack,Right,175,45000,315000
457731,2017,Ryan Trotman,Netherlands,Barbados,27/06/1999,Attack,Right,175,158000,203000
244548,2017,Andreias Calcan,Romania,Romania,09/04/1994,Attack,Right,172,225000,720000
31535,2017,Nick Proschwitz,DDR,Germany,28/11/1986,Attack,Right,192,135000,2700000
60273,2017,Dalibor Volas,Jugoslawien (SFR),Slovenia,27/02/1987,Attack,Right,189,9000,720000
337669,2017,Ilias Alhaft,Netherlands,Netherlands,23/02/1997,Attack,Left,172,293000,293000
77147,2017,Thomas Verhaar,Netherlands,Netherlands,08/03/1988,Attack,Left,180,158000,585000
182420,2017,Loris Brogno,Belgium,Belgium,18/09/1992,Attack,Left,178,405000,900000
214798,2017,Craig Goodwin,Australia,Australia,16/12/1991,Attack,Left,180,1130000,1260000
387407,2017,Ayoub Boukhari,Netherlands,Netherlands,06/05/1997,Attack,Both,170,,135000
57506,2017,Paco Van Moorsel,Netherlands,Netherlands,15/12/1989,Attack,Right,186,,360000
135209,2017,Frederik Holst,,Denmark,24/09/1994,Midfield,Right,176,810000,900000
4673,2017,Wesley Sneijder,Netherlands,Netherlands,09/06/1984,Attack,Both,170,,40500000
7602,2017,Thiago Motta,Brazil,Italy,28/08/1982,Midfield,Left,187,,14400000
406891,2017,Dylan George,Netherlands,Netherlands,27/06/1998,Attack,Right,184,9000,225000
57275,2017,Oussama Assaidi,Morocco,Morocco,15/08/1988,Attack,Right,175,,6300000
354495,2017,Jonatan Frimann,,Denmark,10/07/1997,Attack,Left,0,,
17057,2017,Michael Liendl,Austria,Austria,25/10/1985,Attack,Left,175,450000,990000
237673,2017,Nikola Gjorgjev,Switzerland,North Macedonia,22/08/1997,Midfield,Right,172,270000,900000
45486,2017,Danny Holla,Netherlands,Netherlands,31/12/1987,Midfield,Right,179,90000,1580000
330930,2017,Jelle Van Der Heyden,Netherlands,Netherlands,31/08/1995,Midfield,Right,180,225000,630000
308356,2017,Michael Maria,Netherlands,Curacao,31/01/1995,Defender,Left,176,180000,270000
190048,2017,Dejan Trajkovski,Slovenia,Slovenia,14/04/1992,Defender,,0,135000,630000
186863,2017,Cristian Cuevas,Chile,Chile,02/04/1995,Defender,Left,175,315000,1530000
4624,2017,Jos Hooiveld,Netherlands,Netherlands,22/04/1983,Defender,Left,193,,1800000
214078,2017,Richard Jensen,Finland,Finland,17/03/1996,Defender,Left,185,315000,360000
175709,2017,Stefan Thesker,Germany,Germany,11/04/1991,Defender,Left,190,405000,900000
396106,2017,Thomas Kok,Netherlands,Netherlands,15/05/1998,Midfield,Right,180,180000,270000
47344,2017,Eyong Enoh,Cameroon,Cameroon,23/03/1986,Midfield,Both,173,,3150000
79121,2017,Giliano Wijnaldum,Netherlands,Netherlands,31/08/1992,Defender,Left,181,,900000
80671,2017,Jop Van Der Linden,Netherlands,Netherlands,17/07/1990,Defender,Left,188,,1130000
409087,2017,Wessel Sprangers,,Netherlands,09/10/1998,Goalkeeper,,0,,
203907,2017,Kai Huisman,Netherlands,Netherlands,27/03/1995,Attack,Right,177,,90000
253063,2017,Jaroslav Navratil,CSSR,Czech Republic,30/12/1991,Attack,Right,176,360000,540000
255739,2017,Gor Agbaljan,Armenia,Armenia,25/04/1997,Midfield,Right,185,,68000
272930,2017,Jamiro Monteiro,Netherlands,Cape Verde,23/11/1993,Midfield,Right,175,2700000,2700000
187293,2017,Joey Pelupessy,Netherlands,Netherlands,15/05/1993,Midfield,Right,180,315000,1350000
241375,2017,Roland Baas,Netherlands,Netherlands,02/03/1996,Defender,Left,178,270000,315000
134710,2017,Renze Fij,Netherlands,Netherlands,26/09/1992,Goalkeeper,Right,189,225000,270000
75221,2017,Harm Zeinstra,Netherlands,Netherlands,21/07/1989,Goalkeeper,Right,192,,270000
37221,2017,Thomas Enevoldsen,Denmark,Denmark,27/07/1987,Attack,Both,181,,2250000
464142,2017,Diego Snepvangers,Netherlands,Netherlands,03/06/1998,Attack,Left,175,,225000
312716,2017,Olivier Rommens,Belgium,Belgium,03/02/1995,Midfield,Right,177,293000,293000
342712,2017,Feyo Glim,Netherlands,Netherlands,19/06/1997,Midfield,Right,180,,45000
117671,2017,Jeff Stans,Netherlands,Netherlands,20/03/1990,Midfield,Right,185,248000,765000
466816,2017,Bradley Vliet,Netherlands,Netherlands,24/03/1998,Defender,Left,174,135000,158000
